"","Echantillon","TMG","Ecart.type.TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"207","B022",140.604545454546,27.2981572730485,1,2.75,8.0625,2.4375,7.6875,3.9375,11.625,28.5
"209","B023",165.5275,25.0883965343011,3,13.875,7.3125,8.0625,5.125,4.625,11,8.5
"211","B024",164.883152173913,24.6898111047858,4,2.1875,6.375,6,7.5,6,8.625,6.375
"213","B025",145.32,25.8235033345802,2,6.75,4.875,3.375,3.1875,5.8125,6,8.25
"215","B026",162.339285714285,27.3014052626709,1,8.25,6.375,6.875,14.875,14.625,12,21
"217","B027",155.9375,21.188038570361,3,4.25,6.375,8.25,1.5625,2.3125,10.375,9.875
"219","B028",165.438311688312,34.6112587342435,1,5.25,12,7,12.125,16.875,20.625,23.625
"221","B029",169.02,22.4704918156133,4,2.1875,6.75,3.375,4.5,6,5.4375,4.3125
"223","B030",159.868421052632,33.2064217013695,2,10.5,13.5,5.25,13.875,11.625,18.75,18
"225","B031",149.8975,26.046436543259,1,9,7.5,5.25,4.125,6.625,2.875,10.375
"227","B032",161.516304347826,23.3694342152607,2,9.375,7.5,6,7.3125,3.1875,6.875,8.125
"229","B033",151.10597826087,23.3128169823362,4,6.9375,6.75,9,4.5,5,7,9.75
"231","B034",150.7775,24.3768788382592,1,5.725,3.5,3.15,3.75,6,9.375,22.625
"233","B035",147.475543478261,26.2207811471399,3,7.125,5.5,5.5,5.5,5,5.5,19.5
"235","B036",151.7225,24.7766952694408,3,6.375,5.625,3.875,7,4.5,4.5,11.25
"237","B037",163.782467532467,28.7558882525493,4,4.875,6.75,8.25,12.75,9,11.625,17.625
"239","B038",154.357142857143,28.0326575305754,4,10.125,7.875,6.375,6,8.25,21.375,16.125
"241","B039",150.9,24.4640943036003,2,7.05,6,4.2,7.5,12,20.625,12.375
"243","B040",145.1625,17.8423516575466,3,4.125,7.875,3.375,3.625,4.625,7.5,4.5
"245","B041",166.56,23.1903245632917,1,5.4375,9,9.375,4.3125,6.8125,3.875,12.375
"247","B042",154.087944664032,24.0865464962689,4,3.875,4.3125,3.5625,5.8125,7.6875,8.625,14.625
"249","B043",165.8125,27.2823215982155,2,7.125,4.875,4.125,5.25,6,5.625,10.875
"251","B044",168.125,24.2065018923604,4,4.25,4.625,7.375,10.375,5.625,12,12
"253","B045",155.045454545455,29.0871961197373,2,2.625,7.35,3.75,10.875,7.625,9.25,15.75
"255","B046",147.332298136646,25.2522598100431,3,5.625,4.3125,3.5625,6,12,5.625,34.125
"257","B047",164,34.0250174464171,2,8.25,5.0625,6.1875,12,8,6.625,12.375
"259","B048",151.833913043479,25.4402493811607,3,6.675,1.6875,4.3875,6.75,6.75,8.25,9
"261","B049",139.1375,23.144113645113,4,6.875,5.125,4.875,2.625,4.875,9.75,4.5
"263","B050",156.376482213439,24.4772339848714,2,14.625,5.25,4.5,4.25,4.75,10.125,11.625
"265","B051",150.652173913043,29.0150567427768,2,4.75,3.5,7.5,7.5,10.5,31.5,8.5
"266","B052",162.806324110672,39.6306849818685,4,9,7.625,3.625,6.75,21,33,12.75
"268","B053",143.705357142857,24.1863418933867,1,7.3125,5.25,2.875,3.125,7.125,13.5,24.75
"270","B054",148.8125,30.6446393900797,3,7.125,2.6875,3.3125,4.5,9,15,12
"272","B056",152.46,26.7614332798019,1,11.625,6.5625,3.1875,6.9375,2.8125,10.875,11.625
"274","B057",151.630434782609,29.5312441002982,1,7.5,2.5,6.5,7.875,5.625,20.25,4.5
"276","B058",159.375,24.6782137297638,3,8.625,6.375,4.375,8,7.5,10.125,12.375
"278","B059",152.726086956521,28.8337484700652,4,6.625,4.25,5.5,8.375,9.375,12.375,11.625
"280","B060",154.903636363637,32.4898693270986,1,4.5,4.5,6.75,6.375,9.375,11.25,33
"282","B061",144.28,22.2579332119472,1,4.25,3.625,5.625,3.125,4,6.1875,3.9375
"284","B062",152.165760869565,33.2767348135025,1,6,7.125,6.375,8.625,4.875,21,17.5
"286","B063",168.171936758893,32.2164405255928,3,3.875,6.5625,4.3125,7.3125,15.9375,22.125,16.875
"288","B064",151.886086956521,31.9896382599792,2,4.5,4.125,5.625,2.5625,4.6875,11.5,24
"290","B065",159,32.4570252872524,1,4.8,4.5,5.7,18,5.75,10.375,28.875
"292","B066",147.824347826087,28.5929666619906,2,6,4.125,2.75,2.3125,7.0625,6.625,20.625
"294","B067",161.95256916996,27.8697963483315,1,4.6875,9,3.875,7,4,11.375,22.875
"296","B068",152.491304347826,29.6470338090582,3,4.5,6.875,8.625,2.8125,3.9375,14.25,4.5
"298","B069",157.849802371542,27.2498108950927,4,5.125,9.375,3.875,5.5875,5.8125,12.6,16.5
"300","B070",150.415584415584,19.0289406307719,2,6.125,2.875,4.375,5,7.125,2.8125,26.0625
"302","B071",146.3975,25.006145861858,3,7.625,3.625,3.375,5.25,8.25,9.75,6.75
"304","B072",161.858181818182,36.604646605193,2,7,9.875,13.125,6.375,20.625,15.375,16.875
"306","B073",146.0575,30.2957134548622,1,3.5625,5.875,3.5,5.0625,5.8125,6.375,25.875
"308","B074",142.26,29.3330860095889,2,3.6875,9.875,3,2.875,2.875,11.25,15
"310","B075",166.62,29.3532007359378,1,9.75,8.25,4.8,2.625,3.82500000000001,7.125,13.125
"312","B077",160.62,21.5767253166378,3,5,6,4,8,9,4.625,5.875
"314","B078",163.193181818182,26.400676726453,1,8.8125,7.5,9.75,6.75,4.75,11.75,7.5
"316","B079",165.15,26.5087429832983,1,9.5,5.75,5.25,11,7.5,4,9
"318","B080",165.573369565217,28.8855830231502,4,11.625,5.8125,3.6875,12.625,4.375,10.25,12.75
"320","B081",160.9825,32.6004427501044,4,3.29999999999999,3.375,8.075,8.5,11.25,8.25,6.75
"322","B082",172,27.0812393120103,1,4.125,10.125,13.875,3.65,10.75,4.225,3.125
"324","B083",150.875,30.4403265612331,2,6.75,6,5.25,8.125,3.125,19.875,7.875
"326","B084",154.8075,27.6498446030349,3,7.875,5.8125,5.8125,7.5,6.875,10.625,3.125
"328","B085",144.59,22.5350269608025,3,8.625,4.125,2.625,6.375,4.125,8.25,10.5
"330","B086",160.68,23.74352745227,1,4.5,3.5625,4.6875,6.375,6.625,9.3125,5.4375
"332","B087",165.936521739131,24.9167553865613,4,4.5,11.25,7.5,3.125,13.375,6.375,7.125
"334","B088",155.125,29.111129885543,1,5.25,4.575,3.375,6.675,7.5,4.6875,33.9375
"336","B089",159.380434782609,20.152962071071,4,4.5625,3.5,7.75,8.5,6.25,4.5,6.75
"338","B090",153.755681818182,32.3109986079847,3,6.1875,6.5,5.5,8.625,6.875,11.5,23.25
"340","B091",166.02,21.5771257094645,3,8.25,3.875,3.875,6,5,10.5,5.25
"342","B093",148.233913043479,25.0295861591275,2,7.125,6.375,7.875,6.375,4.875,13,4.25
"344","B094",153.1375,28.7343119193978,1,4.875,5.625,6.75,3.5625,4.0625,18.625,11.875
"346","B095",147.827922077922,19.8514179296113,4,10.25,4,5.75,3,5.5,6.75,7.5
"348","B096",170.16,23.8954946909636,2,13.5,3.875,3.125,7.0625,3.5625,9.375,8.25
"350","B097",139.405,15.974687600383,4,5.25,6,3.875,2.3125,3.0625,4.25,4.5
"352","B098",141.72,28.4641880263604,1,5.25,12.75,3.25,2.75,3.75,9,16.5
"353","B099",144.348214285715,17.9167746661387,4,3.1875,4.5,3.25,8.75,5.25,8.5625,5.6875
"355","B100",148.205357142857,24.0355626390193,4,4,3.5,3.6,3.1875,5.9625,17.25,13.5
"357","B101",159.4075,21.280521465348,4,8.1875,5.5,4.875,1.5625,5.6875,11.125,4.125
"359","B102",156.380681818182,26.7859331114352,3,3.5,5.5375,4.6875,6.375,6.5,11,11
"361","B103",162.48,26.2921561692258,3,8.25,5.25,5,6.625,6.875,5.125,5.375
"363","B104",154.74,22.3796428652005,3,6,4.5,4.125,3.5625,3.5625,11.625,9.625
"365","B105",171.36,31.1859641236161,1,6.875,8,9.5,10.625,4.375,12.375,10.125
"367","B106",149.086956521739,26.8649726460761,3,8.25,3.5625,4.6875,6.4375,2.1875,14.25,12.125
"369","T001",159.06,19.4045660544306,3,6.375,4.5,4,5,3.75,3.125,8.125
"371","T002",136.996363636363,19.9932884506802,1,2.375,2.25,4.25,3.9375,2.8125,4.5,9
"373","T003",126.96,17.0291530308968,4,7.625,4.75,5,3.8125,2.0625,5.25,3.875
"375","T004",145.450434782609,22.0675032004985,4,4.875,7.5,7.25,5.3125,3.5625,7.875,7
