"","Echantillon","TMG","Ecart-type TMG","Zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"102","A064",179.181818181818,26.6594687255255,"2",4.5,10.5,8.5,3.5,10.5,11.25,18.75
"103","A064",144.25,30.541845848378,"2",10.5,4.5,5.5,2.75,6.75,3,10.5
"104","A065",173.590909090909,30.3168334363995,"2",10.5,10.5,6,6.75,9.75,19.5,19.5
"105","A065",149.714285714286,28.4905999535687,"2",9.25,2.75,3.75,4.875,1.875,35.25,22.5
"106","A066",157,26.3719218273823,"2",8.25,14.25,5.25,10.5,3,3.75,6.75
"107","A066",169,28.4008573048803,"2",18,5.25,5.25,12.75,3.75,11.25,17.25
"108","A067",156.391304347826,24.005187186475,"2",4.5,2.5,14,6.75,3.75,1.875,4.125
"109","A067",140.4,26.944387170615,"2",8.5,3.5,4.5,4.5,7.5,11.25,12.75
"110","A068",177.260869565217,32.4488652152111,"3",2.5,4.5,4.5,8.5,9.5,34.5,10.5
"111","A068",142.304347826087,23.8087737506551,"3",8.25,7.5,2.5,6.5,4.5,12.75,12.75
"112","A069",162.72,25.8835855321476,"3",5.25,2.5,6.5,4.5,7.5,9.75,5.25
"113","A069",160.75,28.7466444166513,"3",12.75,3.5,2.5,7.5,4.5,10.5,9
"114","A070",161.04,19.6479006512146,"1",2.75,3.25,12.75,2.5,2.5,7.75,5.25
"115","A070",159.45,38.0380349816228,"1",6,9,4.5,13.5,43.5,18.5,2.5
"116","A071",158.52,21.558293067866,"1",3.75,4.5,6,5.25,5.25,7.5,4.5
"117","A071",144.25,24.0962742925667,"1",3.5,5.5,3,3,4.5,12.75,8.25
"118","A072",153,26.1220909646153,"2",9.25,2.5,2.5,3.75,8.25,19.5,10.5
"119","A072",128.04,16.1024842803836,"2",5.25,3.75,3.75,3,5.5,2.5,2.5
"120","A073",170.625,25.4452737560777,"3",3.75,6,4.5,4.5,6,6.75,9.75
"121","A073",128.64,19.2351241222925,"3",2.5,9.75,3.75,8.25,6.25,3.5,10.5
"122","A074",180.24,35.7482866722309,"4",20.25,8.25,1.94999999999999,1.5,12.3,13.5,13.5
"123","A074",171.818181818182,30.1024225629075,"4",11.25,6,6,3,13.5,19.5,22.5
"124","A075",171.5,24.4629266975294,"3",2.5,7.5,16.5,7.5,2.5,6.5,10.5
"125","A075",162.409090909091,23.2985981407611,"3",10.5,10.5,7.5,7.5,4.5,13.5,6
"126","A076",152.4,21.8641740128265,"4",1.875,10.5,4.5,2.5,2.5,14.5,49.5
"127","A076",155.478260869565,30.5225245667663,"4",3.75,7.5,5.5,3.5,10.5,10.5,37.5
