"","Echantillon","Répétition","Echantillon_Repétition","TMG","Ecart-type TMG","T10","T20","T30","T40","T50","T60","T70","T80","Banc","Camera","zone","Ecart10_20","Ecart20_30","Ecart30_40","Ecart40_50","Ecart50_60","Ecart60_70","Ecart70_80"
"112","A067",1,"A067_1",148.395652173913,25.474787178545,130.5,135,137.5,151.5,158.25,162,163.875,168,"2","4","14",6.5,3,9.25,5.625,5.625,6.5625,8.4375
"114","A068",1,"A068_1",159.782608695652,28.1288194829331,147.5,150,154.5,159,167.5,177,211.5,222,"2","4","31",5.375,6,3.5,7.5,7,23.625,11.625
"116","A069",1,"A069_1",161.735,27.3151149743995,135.75,141,143.5,150,154.5,162,171.75,177,"2","4","32",9,3,4.5,6,6,10.125,7.125
"118","A070",1,"A070_1",160.245,28.8429678164187,137.25,140,143.25,156,158.5,161,168.75,174,"2","4","12",4.375,6.125,8.625,8,23,13.125,3.875
"120","A071",1,"A071_1",151.385,22.8272836802163,134.25,138,142.5,148.5,153.75,159,166.5,171,"2","4","12",3.625,5,4.5,4.125,4.875,10.125,6.375
"122","A072",1,"A072_1",140.52,21.1122876224995,126.75,136,138.5,141,144.75,153,172.5,183,"2","4","13",7.25,3.125,3.125,3.375,6.875,11,6.5
"124","A073",1,"A073_1",149.6325,22.3401989391851,144.75,148.5,154.5,159,163.5,169.5,176.25,186,"2","4","31",3.125,7.875,4.125,6.375,6.125,5.125,10.125
"126","A074",1,"A074_1",176.029090909091,32.9253546175692,135.75,156,164.25,166.2,167.7,180,193.5,207,"2","4","34",15.75,7.125,3.97499999999999,2.25,12.9,16.5,18
"128","A075",1,"A075_1",166.954545454545,23.8807624191453,141.5,144,151.5,168,175.5,178,184.5,195,"2","4","42",6.5,9,12,7.5,3.5,10,8.25
"130","A076",1,"A076_1",153.939130434783,26.1933492897964,133.125,135,145.5,150,152.5,155,169.5,219,"2","4","44",2.8125,9,5,3,6.5,12.5,43.5
"132","A077",1,"A077_1",176.724308300395,33.5458762449148,133.5,138,150.75,154.5,173.25,180,199.5,216,"2","4","11",6,9,9,18.375,10.625,12.625,15.375
"134","A078",1,"A078_1",159.318181818182,32.832061214546,125.25,132,139.5,147,160.5,164,184.5,234,"2","4","24",10.125,5,5,8,5.5,17.375,26.625
"136","A079",1,"A079_1",165.1375,28.3663824870052,139.5,145.5,150.5,153,154.875,165,169.5,186,"2","4","34",3.9375,3.625,2.75,2.8125,12.9375,7.875,13.125
"138","A080",1,"A080_1",168.688571428571,27.9475466775797,142.5,151.5,154.5,159,163.5,180,205.5,228,"2","4","34",7.75,5.25,3.5,6,10,15.875,14.125
"140","A081",1,"A081_1",151.772727272727,29.7282394009153,124.5,135,136.875,141,147.75,163.5,167.25,201,"2","4","41",7.125,5.0625,6.1875,10.875,10.125,13.125,23.625
"142","A082",1,"A082_1",154.179545454545,26.654984972995,132.75,138,148.5,153,160.5,168,187.5,198,"2","4","13",5.25,10,3.5,9,9,16.5,16.5
"144","A083",1,"A083_1",153.128181818182,32.692062654928,134.25,138,140.5,147,150.75,156,162.75,169,"2","4","11",5.125,2.5,5.75,5.25,8.25,30.375,8.375
"146","A084",1,"A084_1",155.265,25.8049941249227,139.5,154.5,160.5,168,177.75,198,204.75,228,"2","4","43",14.25,4.25,8.5,8.125,11.375,9.75,15
"148","A085",1,"A085_1",185.654870872834,20.3881453127557,171.5,174,179.25,187,189.75,201,208.5,214.5,"4","4","41",10,8.0625,5.3125,7.625,7,7.4375,9.0625
"152","A086",1,"A086_1",163.175454545455,36.7137051778633,133.5,142.5,147.75,153,160.5,169.5,205.5,219,"2","4","43",7.875,4.125,4.125,9.75,9.75,30.75,19.5
"154","A087",1,"A087_1",147.9175,28.2326496900707,124.5,135,138.5,141,148.5,160.5,166.5,177,"2","4","34",6.5,3.625,3.875,5,9.25,11.25,9.75
"156","A088",1,"A088_1",167.125,27.5307140734,133.5,141,153.75,159.75,161.625,168,181.5,192,"2","4","44",7.5,12.75,6,1.875,6.375,13.5,10.5
"157","A089",1,"A089_1",159.6,18.3987910179358,133.5,138,142.5,147,157.5,160,163.5,180,"2","4","12",5.5,5.625,3.875,6.5,2.5,3.625,11.625
"159","A090",1,"A090_1",151.4375,25.2005760453542,140.5,143,146.25,149,151.5,156,164.25,171,"2","4","41",4.625,2.5625,2.3125,2.1875,6.1875,5.625,4.875
"161","A091",1,"A091_1",143.034545454545,18.4750581569053,133.5,145,150.75,154,157.5,165,169.5,180,"2","4","44",6.6875,3.8125,2.5625,3,5.5,5.625,9.375
"163","A092",1,"A092_1",154.1875,29.3703888428987,136.5,142.5,146.25,151.5,177.75,183,195.75,210,"2","4","23",5.25,3.625,3.875,15.375,4.875,8.4375,8.0625
"165","A093",1,"A093_1",153.485,27.9702379750466,131.25,142.5,146.25,153,159.75,165,175.5,198,"2","4","33",8.25,2.8125,6.1875,4.875,3.875,8.125,15.375
"167","A094",1,"A094_1",193.695652173913,32.1692043344234,148.5,166,172.5,186,193.5,208.5,226.5,230,"2","4","33",17.5,6.5,13.5,7.5,15,18,3.5
"168","A095",1,"A095_1",132.721590909091,18.6699782091257,122.25,126,129.5,132,136.875,141,156.75,165,"2","4","44",3.75,4,3.5,4.5,3,9.125,7.375
"170","A096",1,"A096_1",149.54347826087,16.8974843039319,150.375,152.25,155.25,161,168.3,169.8,171.75,180,"2","4","32",1.875,3,4.75,5.30000000000001,1.5,3.44999999999999,8.25
"172","A097",1,"A097_1",156.573863636364,27.6975760155328,126.75,130.5,133.5,139,145.5,153,166.5,195,"2","4","41",4.125,8.25,6.5,7.375,7.125,10.125,18.375
"174","A098",1,"A098_1",147.9375,28.2405374994092,132.75,136,145.5,150,158.25,161,166.5,177,"2","4","21",4.25,7,3.5,5.5,3.25,4.25,12
"176","A099",1,"A099_1",171.54,28.9252268506911,142.5,147,159.375,161.25,166.5,172.5,190.5,210,"2","4","12",6.375,8.0625,5.0625,4.875,6.75,13.125,13.875
"178","A100",1,"A100_1",170.28,29.3939419227536,131.25,150,155.25,162,171.75,180,184.5,192,"2","4","41",11.625,6.75,9,7.875,15.375,6,11.25
"180","A101",1,"A101_1",166.265217391304,24.300461276865,144.5,147,151.5,159,168.75,175.5,187.5,198,"2","4","13",3.125,5.0625,4.6875,12.625,4.625,7.25,6.5
"182","A102",1,"A102_1",148.849802371542,27.4914079221418,130.5,141,151.5,156,160.5,171,176.25,192,"2","4","31",9.375,6.5,4,4.125,7.875,5.375,14.125
"184","A103",1,"A103_1",149.973913043478,29.4955453184191,133.5,139.5,143.25,153,157.125,159,169.5,177,"2","4","12",6.75,5.125,6.125,4.3125,3.9375,6.75,12
"186","A104",1,"A104_1",192.903246753247,18.6976202875861,163.5,180,181.5,183,187.5,201,222.5,225,"4","4","13",6.65625,2.875,3.6875,6.5625,8.4375,15.125,7.75
"190","A105",1,"A105_1",167.545454545455,29.5614145779096,133.5,144,160.5,166.5,171.375,173.25,178.5,201,"2","4","41",7.875,11.8125,3.9375,5.8125,3.5625,8.25,25.125
"192","A106",1,"A106_1",177.125,27.7133417679309,142.5,154.5,159.75,163,172.5,195,232.5,239,"2","4","23",6.9375,4.875,4.25,7,12.6,19.5,12.4
"194","A107",1,"A107_1",151.369047619048,23.7423707403883,142.5,150,157.5,164,166.125,168,184.5,222,"2","4","34",5.25,4.875,5.875,3.3125,4.6875,37.5,35
"196","A108",1,"A108_1",160.5,29.2968206183526,141.75,145.5,151.5,166.5,170.25,178,196.5,207,"2","4","42",3.125,11.0625,8.4375,9,7.25,14.875,14.625
"198","B009",1,"B009_1",147.32,28.9485738118032,124.5,132,143.25,147,151.5,159,161.5,165,"2","4","11",5,9,4.5,5.5,5,5,4
"200","B010",1,"B010_1",144.825,25.4178422612232,131.25,138,153.5,156,163.5,168,172.5,181,"2","4","42",5.25,10.1875,5.5625,6.375,5.625,3.75,6.5
"202","B011",1,"B011_1",164.347826086957,30.9487610543071,142.5,151,156.75,160.5,172.5,199.5,208.5,217.5,"2","4","24",7.25,8.5,5.25,9,18,6.375,6.375
"204","B012",1,"B012_1",143.64,31.6682028682266,127.5,132,134.5,138,151.5,156,163.5,168,"2","4","22",5.625,4,6.5,8.875,2.875,5.125,5.625
"206","B013",1,"B013_1",162.24,28.1813768293886,133.5,139.5,142.5,148,154.5,162,169.5,183,"2","4","41",6,3,5.5,6.5,7.5,7.5,13.5
"207","B014",1,"B014_1",184.888260869565,20.9231422751655,157.5,165,173.25,177,180.75,184.5,189.5,192,"4","4","42",8.4375,6.3125,3.4375,5.5,5.125,9.5,4.25
"211","B015",1,"B015_1",162.795,30.5071915414033,140.5,147,150.75,156,163.5,174,189.75,204,"2","4","43",6.175,2.625,3.825,6.75,7,16.625,12.375
"213","B016",1,"B016_1",145.966363636364,27.1961526360524,131.25,138,149.25,151.2,152.7,156,161.5,171,"2","4","23",4.625,7.375,6.22499999999999,5.625,3.52500000000001,14.75,22.75
"215","B017",1,"B017_1",163.64347826087,20.8396526368491,128.25,148.5,152.25,157,159.5,162,166.5,186,"2","4","33",14.75,3.25,4.25,2.75,3.5,4.5,14.25
"217","B018",1,"B018_1",160.0625,21.901043171183,133.5,142.5,148.5,152,164.25,167,172.5,177,"2","4","23",7.125,3.9375,3.8125,8.875,2.625,4.375,13.125
"219","B019",1,"B019_1",150.245217391304,26.9631476584064,121.5,125,133.5,144,146.5,156,161.25,177,"2","4","44",7,6.125,6.675,2,6.7,13.875,17.625
"221","B020",1,"B020_1",171.646739130435,32.1960476210914,133.5,142.5,148.5,155,160.5,168,175.5,189,"2","4","13",11.375,5.875,7.375,4.625,5.375,5.5,21
"223","B021",1,"B021_1",180.471790890269,23.4564364650876,142.5,153,160.125,162,168.75,172.5,186.75,193.5,"4","4","23",6.25,8,2.25,5.75,4.5,15.75,13.25
"226","B022",1,"B022_1",140.604545454545,27.2981572730485,121.5,124.5,133.5,136.5,144.375,146.25,163.5,195,"2","4","12",2.75,8.0625,2.4375,7.6875,3.9375,11.625,28.5
"228","B023",1,"B023_1",165.5275,25.0883965343012,127.5,147.75,149.625,159,165.5,168,173.5,181.5,"2","4","31",13.875,7.3125,8.0625,5.125,4.625,11,8.5
"230","B024",1,"B024_1",164.883152173913,24.6898111047857,138.5,141,148.5,153,158.25,165,172.5,180,"2","4","44",2.1875,6.375,6,7.5,6,8.625,6.375
"232","B025",1,"B025_1",145.32,25.8235033345801,127.5,133.5,136.5,139.5,142.125,144,148.5,153,"2","4","24",6.75,4.875,3.375,3.1875,5.8125,6,8.25
"234","B026",1,"B026_1",162.339285714286,27.301405262671,142.5,156,162.75,169,190.5,213,226.5,237,"2","4","22",8.25,6.375,6.875,14.875,14.625,12,21
"236","B027",1,"B027_1",155.9375,21.188038570361,141.5,144,147.75,156.75,158.625,162,174.75,183,"2","4","42",4.25,6.375,8.25,1.5625,2.3125,10.375,9.875
"238","B028",1,"B028_1",165.438311688312,34.6112587342435,138.75,144,148.5,152,157.5,171,199.5,241.5,"2","4","12",5.25,12,7,12.125,16.875,20.625,23.625
"240","B029",1,"B029_1",169.02,22.4704918156132,147.5,150,155.25,157.5,159.75,168,175.125,177,"2","4","33",2.1875,6.75,3.375,4.5,6,5.4375,4.3125
"242","B030",1,"B030_1",159.868421052632,33.2064217013695,121.5,135,148.5,153,163.5,177,199.5,210,"2","4","14",10.5,13.5,5.25,13.875,11.625,18.75,18
"244","B031",1,"B031_1",149.8975,26.046436543259,130.5,144,151.5,157.5,161.25,171,173.5,181.5,"2","4","11",9,7.5,5.25,4.125,6.625,2.875,10.375
"246","B032",1,"B032_1",161.516304347826,23.3694342152607,129.75,138,145.5,150,160.5,165,176.25,189,"2","4","23",9.375,7.5,6,7.3125,3.1875,6.875,8.125
"248","B033",1,"B033_1",151.10597826087,23.3128169823362,126.75,135,139.5,147,151.5,159,169.5,181.5,"2","4","33",6.9375,6.75,9,4.5,5,7,9.75
"250","B034",1,"B034_1",150.7775,24.3768788382592,127.5,137,142.5,147,151.5,159,169.5,201,"2","4","22",5.725,3.5,3.15,3.75,6,9.375,22.625
"252","B035",1,"B035_1",147.475543478261,26.2207811471399,130.5,141,145.5,154,157.5,163,166.5,180,"2","4","42",7.125,5.5,5.5,5.5,5,5.5,19.5
"254","B036",1,"B036_1",151.7225,24.7766952694408,138.75,142.5,150.75,156,166.5,169.5,173.25,192,"2","4","32",6.375,5.625,3.875,7,4.5,4.5,11.25
"256","B037",1,"B037_1",163.782467532468,28.7558882525493,136.5,142.5,147.75,153,169.5,180,199.5,231,"2","4","44",4.875,6.75,8.25,12.75,9,11.625,17.625
"258","B038",1,"B038_1",154.357142857143,28.0326575305754,131.25,141,149.25,157.5,162.75,168,173.25,198,"2","4","43",10.125,7.875,6.375,6,8.25,21.375,16.125
"260","B039",1,"B039_1",150.9,24.4640943036004,131.25,141,151.5,156,166.5,180,201.75,219,"2","4","24",7.05,6,4.2,7.5,12,20.625,12.375
"262","B040",1,"B040_1",145.1625,17.8423516575466,139.5,144,155.25,159,164.25,171,180.75,186,"2","4","41",4.125,7.875,3.375,3.625,4.625,7.5,4.5
"264","B041",1,"B041_1",166.56,23.1903245632918,128.25,135,140.5,156.75,158.625,171,176.25,196.5,"2","4","11",5.4375,9,9.375,4.3125,6.8125,3.875,12.375
"266","B042",1,"B042_1",154.087944664032,24.0865464962689,141.5,144,150.75,154.5,161.25,169.5,181.5,207,"2","4","34",3.875,4.3125,3.5625,5.8125,7.6875,8.625,14.625
"268","B043",1,"B043_1",165.8125,27.2823215982156,140.25,147,151.5,154.5,159.75,163.5,167.25,174,"2","4","23",7.125,4.875,4.125,5.25,6,5.625,10.875
"270","B044",1,"B044_1",168.125,24.2065018923604,141.75,147,153.75,166,178.5,183,196.5,210,"2","4","44",4.25,4.625,7.375,10.375,5.625,12,12
"272","B045",1,"B045_1",155.045454545455,29.0871961197373,141.3,142.8,145.5,150,160.5,169.5,181.5,196.5,"2","4","14",2.625,7.34999999999999,3.75,10.875,7.625,9.25,15.75
"274","B046",1,"B046_1",147.332298136646,25.2522598100431,132.75,138.75,140.625,144,152.25,166.5,170.25,180,"2","4","42",5.625,4.3125,3.5625,6,12,5.625,34.125
"276","B047",1,"B047_1",164,34.0250174464171,136.5,148.5,153.75,162,180.75,190,198.75,213,"2","4","24",8.25,5.0625,6.1875,12,8,6.625,12.375
"278","B048",1,"B048_1",151.833913043478,25.4402493811606,142.5,147.6,149.1,151.5,157.5,163.5,172.5,180,"2","4","41",6.675,1.6875,4.3875,6.75,6.75,8.25,9
"280","B049",1,"B049_1",139.1375,23.144113645113,126.75,136,142.5,145.5,147.75,153,168.75,174,"2","4","43",6.875,5.125,4.875,2.625,4.875,9.75,4.5
"282","B050",1,"B050_1",156.376482213439,24.4772339848713,142.5,153,159.75,165,167.5,169.5,172.5,180,"2","4","23",14.625,5.25,4.5,4.25,4.75,10.125,11.625
"284","B051",2,"B051_2",150.652173913043,29.0150567427768,119.25,124,127.5,135,142.5,153,184.5,193,"2","4","14",4.75,3.5,7.5,7.5,10.5,31.5,8.5
"285","B052",1,"B052_1",162.806324110672,39.6306849818685,130.5,141,153.75,157.5,166.5,198,211.5,216,"2","4","34",9,7.625,3.625,6.75,21,33,12.75
"287","B053",1,"B053_1",143.705357142857,24.1863418933867,135.375,137.25,140.25,142.5,145.5,153,157.5,169.5,"2","4","11",7.3125,5.25,2.875,3.125,7.125,13.5,24.75
"289","B054",1,"B054_1",148.8125,30.6446393900797,133.5,138,141.5,144,150.5,153,160.5,171,"2","4","31",7.125,2.6875,3.3125,4.5,9,15,12
"291","B055",2,"B055_2",184.833992094862,20.7412396429721,166.5,170,173.25,178.5,184.5,201,205.5,210,"4","4","12",5.125,3.5,5.25,4.5,11.25,5.25,10.5
"293","B056",1,"B056_1",152.46,26.7614332798019,121.5,141,145.875,148.5,157.125,159,172.5,187.5,"2","4","22",11.625,6.5625,3.1875,6.9375,2.8125,10.875,11.625
"295","B057",1,"B057_1",151.630434782609,29.5312441002982,127.5,132,134.5,138,148.5,153,165.75,169.5,"2","4","22",7.5,2.5,6.5,7.875,5.625,20.25,4.5
"297","B058",1,"B058_1",159.375,24.6782137297637,147.75,151.5,156.75,160,166.5,177,183.75,192,"2","4","41",8.625,6.375,4.375,8,7.5,10.125,12.375
"299","B059",1,"B059_1",152.726086956522,28.8337484700653,128.25,138,143.25,151.5,163.5,171,176.25,183,"2","4","44",6.625,4.25,5.5,8.375,9.375,12.375,11.625
"301","B060",1,"B060_1",154.903636363636,32.4898693270986,129.75,135,138.75,148.5,154.5,165,178.5,186,"2","4","11",4.5,4.5,6.75,6.375,9.375,11.25,33
"303","B061",1,"B061_1",144.28,22.2579332119473,135.75,141,145.5,150,152.5,156.75,158.625,162,"2","4","12",4.25,3.625,5.625,3.125,4,6.1875,3.9375
"305","B062",1,"B062_1",152.165760869565,33.2767348135025,126.75,132,138.75,144,154.5,159,166.5,186,"2","4","21",6,7.125,6.375,8.625,4.875,21,17.5
"307","B063",1,"B063_1",168.171936758893,32.2164405255928,132.5,135,146.25,150,160.875,189,214.5,234,"2","4","32",3.875,6.5625,4.3125,7.3125,15.9375,22.125,16.875
"309","B064",1,"B064_1",151.886086956522,31.9896382599791,136.5,142,144.75,148.5,151.125,153,169.5,183,"2","4","13",4.5,4.125,5.625,2.5625,4.6875,11.5,24
"311","B065",1,"B065_1",159,32.4570252872524,139.5,141.6,143.1,147,164.25,169.5,186.75,210,"2","4","21",4.8,4.5,5.7,18,5.75,10.375,28.875
